,Unnamed: 0,url,fetch_date,active,removal_date,price,Kohdenumero,Sijainti,Tyyppi,Asuintilojen pinta-ala,Kerrokset,Tehdyt remontit,Asunnon kunto,Lämmitysjärjestelmän kuvaus,Taloyhtiön nimi,Tulevat remontit,Tontin omistus,Tontin vuokra-aika päättyy,Tontin vuokra-aika,huoneita
41,41,https://www.etuovi.com/kohde/20800244,19072025,True,,209500.0,20800244,Heinäpää,"3h, kk, kh, sa, las.parveke",71 m²,2/5,2012 iv-kanavien nuohous,Hyvä,Kaukolämpö,"Kiinteistö-Tahkola Oulu Oy Lumijoentie 1, 90400 Oulu Puh. 0207 480 200",2024 käynnissä latausinfran rakentaminen autopaikoille,Oma,,,3
42,42,https://www.etuovi.com/kohde/2265205,19072025,True,,75000.0,2265205,Heinäpää,Tilava kaksio Heinäpäässä,53 m²,2/3,"2025 Muu - Kunnossapitotarveselvitys 2025-2029, 2025 Muu - Kaikki vesimittarit uusittu, 2024 Muu - D-rapun porraskäytävän maalaus, lämmönjakokeskuksen tarkastus, A-talon kellaritilojen rikkinäisien korvausilma venttiilien uusiminen säätyvillä venttiileillä, huoneistokohtaiset korvausilmaventtiilit asentaminen ikkunoihin, 2023 Muu - Vuonna 2016 käynnistetty hanke rakennusoikeuden lisäämisestä lopetettu 23.8.2023. IV-kanavien nuohous., 2016 Muu - Molempien talojen tuuletusparvekkeiden ulko-ovien uusiminen, huoneistoparvekkeiden ja C-talon porraskäytäväovien uusiminen ja kellarin ja pyörävarastojen ikkunoiden uusiminen. Käynnistetty hanke rakennusoikeuden lisäämisestä, jonka mahdollistaisi matalan talon purkaminen ja rakentamalla tontille uusia rakennuksia, 2015 Hissi - D-talon hissin peruskorjaus., 2013 Lukot - Koodilukot., 2012 Katto - Matalan talon vesikaton uusiminen., 2011 Katto - D- talon vesikaton uusiminen., 2009 Piha - Asfaltoinnin uusiminen., 2008 Yleiset tilat - Molok- jätehuoltojärjestelmän käyttöönotto., 2006 Muu - Asennettu huoneistokohtaiset vesimittarit., 2006 Teleliikenneyhteydet - Antenniverkon saneeraus., 2006 Yleiset tilat - Rappukäytävien maalaus., 2005 Lämmitys - Kiinteistön maanalainen lämpöputkisto uusittu., 2005 Viemärit - Viemärit uusittu, 2005 Vesijohdot - Käyttövesiputket vaihdettu, 2003 Lukot - Lukkojen sarjoitus exec-avaimille., 2000 Lämmitys - Lämmönvaihdin uusittu., 1997 Muu - Lämpöeristettä lisätty., 1997 Julkisivu - Julkisivupinnoitteet uusittu., 1990 Ikkunat - Ikkunat uusittu.",Hyvä,Kaukolämpö,564-005-0016-0001,"2025 Muu - Parvekkeiden kuntotutkimus, palovaroittimien uusiminen, vesikaton tarkastus 2025-2026.",Vuokra,,,T
43,43,https://www.etuovi.com/kohde/20099866,19072025,True,,349000.0,20099866,Heinäpää,5h + k + s,"123,5 m²",4/4,"2023 porttikongin pilareiden ja jätekatoksen porttien maalaus, 2022 tontin ostaminen ja väestönsuojan tiiveyskoe ja tarkastus, 2019 tv-antennin vahvistimen vaihto, 2018 yhtiön 10-vuotisvastuutarkastus, porraskäytävien lattioiden pesu ja vahaus, 2017 parvekelasien huoltotyö (säätö ja tiivisteiden tarkistus/vaihto), 2016 piha-alueen kunnostaminen, 2015 pensas- ja viheralueita kunnostettu talkootyönä, pihapuita kaadettu ja karsittu naapureiden puolelta, lämmitysjärjestelmän tasapainotus, ilmanvaihtokanavien nuohous.",Hyvä,Kaukolämpö,"NET Isännöinti Oy Tarjamari Huhtala Kangaskontiontie 10, 90240 Oulu P 040 163 7647 tarjamari.huhtala@taloasema.fi","Taloyhtiön hallituksen kunnossapitotarveselvitys 2024-2028: 2025 ilmanvaihtokanavien nuohous, 2026 palovaroittimien vastuu yhtiölle, lisäksi tehdään normaalit vuosittaiset kunnostus- ja huoltotyöt.",Oma,,,5
44,44,https://www.etuovi.com/kohde/20691712,19072025,True,,154000.0,20691712,Heinäpää,2h + k + kph / wc + las.parveke,57 m²,2/5,-2005 Ikkunat ja parvekeovet uusittu,Hyvä,Kaukolämpö,"Kiinteistö-Tahkola Oulu Oy, Lassi Ylikulju, p. 020 7480234",2024 Huoneistojen märkätilatarkastukset,Oma,,,2
45,45,https://www.etuovi.com/kohde/80390431,19072025,True,,89000.0,80390431,Heinäpää,"2h, k, kph, lasitettu parveke","55,5 m²",3/3 (ylin kerros),"Asuntojen ikkunat ja parvekeovet 1999. Kaukolämmön alajakokeskus 2004. Vesikaton ja kourujen kunnostus 2006. Ulko-ovet ja lukitus 2008. Viemäreiden kuntotutkimus 2010 Linjasaneeraus 2012 (viemärit, käyttövesiputket ja taloyhtiön sauna- sekä pesuhuonetilat uusitti, pihat asfaltoitu, sadevesiviemäreiden asennukset tehty, pihavalaistus uusittu, rappukäytävien maalaus, tasanteiden laatoitus, sisääntulon ulkoportaat ja kaiteet uusittu). Koodilukot ulko-oviin ja pyörävarastojen ovet uusittu 2013. Peltikatteen korjaukset ja lumiesteiden asennus 2015. Elementtisaumojen korjaukset ja puisteluparvekkeiden kunnostus sekä osittainen maalaus 2016. Patteriverkoston sulkuventtiilien uusiminen kellaritiloissa ja piha raja-aitojen kunnostaminen/uusiminen 2017. Parvekkeiden (4kpl) kunnostus ja maalaus sekä rakennusten seinien alaosien pintavauroiden kunnostus ja maalaus 2018. Vesikaton uusiminen 2019. Lukituksen uusiminen 2023.",Hyvä,Kaukolämpö,"Kiinteistö-Tahkola Oulu Oy, Aleksi Lepistö, 0207488224",Kunnossapitotarveselvityksellä ei suunniteltuja isompia korjaustoimenpiteitä seuraavalle viidelle vuodelle.,Vuokra,30.12.2059,,2
46,46,https://www.etuovi.com/kohde/80388484,19072025,True,,169900.0,80388484,Heinäpää,"4h, k, kph / khh, wc, lasitettu parveke","85,5 m²",4/4 (ylin kerros),"Vesijohtoverkoston runkolinjojen venttiilit uusittu 2002. Ikkunoiden ja parvekeovien korjaus 2003. Julkisivun lämpörappaus 2004-2005. Parvekkeiden peruskorjaus 2005-2006. Rappukäytävät maalattu 2006. Piha-alueen viher- ja asfalttityöt 2006. IV-kanavien puhdistus, säätö ja venttiilien uusiminen 2007. Patteriverkosto tasapainotettu 2009. Vesikaton huopakatteen uusinta 2015. Kylmiön kompressoreiden ja komeroiden purku 2015. D-rapun vesikattovuotovahinkojen korjaus 2015. Talouskellareiden käyttötarkoituksen muutos 2016. Piharakennusurakka 2016. Linjaventtiilien uusiminen 2017. D-rapun pohjakerroksen lattiasaneeraus 2017. Väestönsuojan tarkastus 2017. Pesuhuoneiden saneerauskorjaukset (18kpl) 2017-2018. Salaojakaivon pumppaamon uusiminen, salaojien huuhtelu, IV-kanavien puhdistus 2020. Ikkunoiden ja parvekeovien uusiminen, huippuimurien uusiminen, IV-kanavien puhdistus ja säätö 2023. Putkistojen kuntotutkimus 2024.",Hyvä,Kaukolämpö,"Isännöinti Vuorma Oy, Ulla Pitkänen, 044 762 5000","Kunnossapitotarveselvityksellä suunnitteilla 2024-2033: Vesijohtoputkistojen uusiminen 1-3 vuoden kuluessa. Lämpöjohtoverkoston venttiileiden uusiminen ja perussäätö 1-3 vuoden kuluessa. Sokkelielementtien saumamassojen uusiminen. Kellarin lattioiden pinnoitteen uusiminen. Saunaosaston, wc-tilojen, siivouskomeron ja pesutuvan saneeraukset. Lämmitysverkon paisunta-astioiden uusiminen. Hissien perusparannus/uusiminen. Kuntoarvio ja PTS. Palovaroittimien uusiminen. Sähkökeskusten lämpökuvaus.",Oma,,,4
47,47,https://www.etuovi.com/kohde/20683877,19072025,True,,55000.0,20683877,Heinäpää,"1h, kk, kph",37 m²,2/3,"Vesikate, julkisivumaalaus, Harjapäänkadun puoleisen päätyseinän korjaus sekä ko. päädyn ikkunoiden ulkopuitteiden",Hyvä,Kaukolämpö,Isännöintitoimisto Tuiran Isännöitsijätoimisto Oy Hallituskatu 26 A 90100 Oulu Isännöitsijä Pasi Räisänen (08) 415 411 81,-Koivujen kaataminen 2024; kaatolupa-asia vieläkin kesken taloyhtiöstä riippumattomista syistä,Vuokra,30.12.2055,,1
48,48,https://www.etuovi.com/kohde/80387599,19072025,True,,59500.0,80387599,Heinäpää,1h + k + kph,31 m²,3/3 (ylin kerros),1996 asuinhuoneistojen ja liikehuoneiston ikkunat uusittu.,Hyvä,Kaukolämpö,564-5-6-6-L1,PTS-Ehdotus (KIWA),Vuokra,30.12.2045,,1
49,49,https://www.etuovi.com/kohde/590897,19072025,True,,139500.0,590897,Heinäpää,"2h, k, s",58 m²,2/4,1999 parvekkeiden vesikourut,Hyvä,Kaukolämpö,"Retta isännöinti Oy, Oulu",Suunnitellut: 2025 hissien kuntoarvio,Oma,,,2
50,50,https://www.etuovi.com/kohde/80386260,19072025,True,,129000.0,80386260,Heinäpää,3h + kk + kh + vh + parveke,59 m²,4/6,"2005 Ikkunat, parvekeovet ja pääovet uusittu, Ilmanvaihtokanavien puhdistus-säätö ja Lämmitysjärjestelmän tasapainoitus, 2006 Lukituksen uudelleen sarjoitus, 2007 Antennijärjestelmän digitalisoint, i2008 Vesivahinkokorjauksia, 2009 Bauer vedenkäsittelylaite asennettu, vesivaurio- ja viemärivuotokorjauksia ja kuntoarvin laadinta (Instaro), 2010 Kuntotutkimuksien tekeminen lisärakentamishanketta varten, 2010 - 2011 Kaavamuutos ja hankesuunnittelu käynnistetty lisärakentamisen ja korjausten osalta (Instaro), 2011 Lisätutkimukset korjaussuunnittelua varten. + Instaro Oy teki korjaussuunnittelua ja lisäkerroksen suunnittelu, jatkuu 2012 puolella. 2012 Korjaussuunnittelun loppuunsaattaminen (Instaro Oy). + B-portaassa sattuneen vesivuodon korjaukset. 2013 10 vuoden energiatodistuksen laadinta ajalle 2013 - 2023, 2013 Vesivauriokorjausta alkuvuosi 2013 ennen peruskorjaushanketta, 2013 Peruskorjaushankkeen aloitus (käyttövesi- ja viemäriputket, yms.), valmistuu 2014. 2014 Peruskorjaushanke on valmistunut. + hankitttu yhtiölle 2014 taloyhtiö -laajakaista DNA Welho Oy:tä. 2015 Päätetty suunnatusta osakeannista, jolla muutetaan A3 talonmiehen asunto osakehuoneistoksi. Päivitetty yhtiöjärjestys. 2016 Maankäyttösopimuksen sopimusmaksu maksuun huhtikuussa 2016. Rahoitetaan A3 myynnillä / uusmerkinnällä. 2017 Korjaushankkeiden suunnittelujen loppuunsaattaminen ja kilpailutus 2018 alussa, 2018 Hissien uusinta kilpailutettu, Julkisivu- ja parvekekorjaukset, vesikatto sekä autallien ovet kilpailutettu. 2018 Julkisivu-, parveke-, katto- ja at ovirermontin lisäsuunnittelut, yms.+ IV-huipparin korjaus, LJH moottoriventtiilin uusinta, yms. 2018-2019 Hissien uusinta molempiin porraskäytäviin, valmistunut tammikuu 2019.",Hyvä,Kaukolämpö,564-5-10-2-T,"Palovaroittimien hankinta asuntoihin, IV-Kanavien puhdistus ja ilmanvaihdon säätö, Lämmitysjärjestelmän tarkastus ja tasapainotus 2024",Oma,,,3
51,51,https://www.etuovi.com/kohde/589846,19072025,True,,218000.0,589846,Heinäpää,"4h, k",91 m²,3/4,1996 kadunpuoleisen vesikaton jatkaminen parvekkeiden yläpuolelle,Hyvä,Kaukolämpö,"Retta Isännöinti Oy, Oulu",Suunnitellut: 2025 ilmanvaihtokanavien puhdistus ja ilmamäärien säätö,Oma,,,4
52,52,https://www.etuovi.com/kohde/20443576,19072025,True,,119000.0,20443576,Heinäpää,"2h, k, kh / wc, s, vh, parv.","50,5 m²",3/5,"2002: parvekkeiden ulkopuolisten osien maalaus, elementtien ja ikkunoiden saumat.",Tyydyttävä,Kaukolämpö,Jussi Roininen Isännöintipalvelu Heikki Lahti Oy Torikatu 22 A 4.krs 90100 Oulu p. 050 4714505 sp. jussi@hlahti.fi,"Taloyhtiön hallituksen 5-vuotis kunnossapitotarvesuunnitelman mukaan 2024-2028: Autokatoksen betonilattioiden/pilareiden korjaukset 2024, antenniverkon uusiminen, iv-kanavien puhdistus ja ilmavirtojen säätö 2025, pihan kunnostus, asfaltin uusiminen, kallistuksen korjaus, parvekkeiden kunnostus.",Oma,,,2
53,53,https://www.etuovi.com/kohde/80360800,19072025,True,,117000.0,80360800,Heinäpää,"3h, k, s",73 m²,2/3,Rakennettu uusi jätekatos 2008.,Tyydyttävä,"Kaukolämpö, Vesikeskuslämmitys","Isännöinti Tahkola, Ilkka Moilanen, ilkka.moilanen@kiinteistotahkola.fi, 0207480258",Pihasuunnitelman toteuttaminen vaiheittain.,Oma,,,3
54,54,https://www.etuovi.com/kohde/1381011,19072025,True,,0.0,1381011,Heinäpää,"2h, k, kph, parveke","40,5 m²",6/6,"A-C talojen ulko-ovien uusiminen -97, lukitusjärjestelmän uusiminen -99, ikkunoiden ja parvekeovien uusiminen -08, A-C talojen vesikaton pinnoitus -08, parvekkeiden peruskorjaus -09-10, LVIS-saneeraus -09-10, A-C taloon koneellinen ilmanpoisto -09-10. lämpimän käyttöveden vaihdin uusittu 2012, taloyhtiön internet asennettu 2012, ulko-ovien koodilukitus asennettu 2014, paikoitusalueen/ajotien asfaltointi 2018, IV-kanavien puhdistus ja säätö 2021. A-C ja D-talon rännikourujen ja syöksytorvien uusiminen 2023. Korkean D-talon vesikaton kunnostus tai uusiminen 2023. Patolevyjen asennus D-talon kellarin puoleinen seinusta ja A-C talon sisäpihan",Hyvä,"Kaukolämpö, vesikeskuslämmitys",Taloyhtiössä on sauna,Kunnossapitotarveselvityksellä: Väestönsuojan IVL-koneen,Vuokra,30.12.2055,,2
55,55,https://www.etuovi.com/kohde/80378796,19072025,True,,59000.0,80378796,Heinäpää,"1h, kk, kph, vh",27 m²,3/6,"2024 Porraskäytävän maalaus D-rappu. 2024 2023 Vuonna 2016 käynnistetty hanke rakennusoikeuden lisäämisestä lopetettu 23.8.2023. 2023 IV-kanavien nuohous. 2016 Muu - Molempien talojen tuuletusparvekkeiden ulko-ovien uusiminen, huoneistoparvekkeiden ja C-talon porraskäytäväovien uusiminen ja kellarin ja pyörävarastojen ikkunoiden uusiminen. 2016 Käynnistetty hanke rakennusoikeuden lisäämisestä, jonka mahdollistaisi matalan talon purkaminen ja rakentamalla tontille uusia rakennuksia (Tästä päätetty ettei toteudu). 2015 D-talon hissin peruskorjaus. 2013 Koodilukot. 2012 Matalan talon vesikaton uusiminen. 2011 D- talon vesikaton uusiminen. 2009 Asfaltoinnin uusiminen. 2008 Molok- jätehuoltojärjestelmän käyttöönotto. 2006 Antenniverkon saneeraus. 2006 Rappukäytävien maalaus. 2006 Asennettu huoneistokohtaiset vesimittarit. 2005 Kiinteistön maanalainen lämpöputkisto uusittu. 2005 Käyttövesi- ja vimeräriputkistot uusittu. 2003 Lukkojen sarjoitus exec-avaimille. 2000 Lämmönvaihdin uusittu. 1997 Lämpöeristeitä lisätty. 1997 Julkisivupinnoitteet uusittu. 1990 Ikkunat uusittu.",Hyvä,Kaukolämpö,"Oiva Isännöinti Oulu Oy, Pekka Kallunki, 010 755 6233",Kunnossapito- ja korjaussuunnitelma 2024-2028: 2024 A-talon kellaritilojen rikkinäisien korvausilma venttiilien uusiminen säätyvillä venttiileillä. 2024 Huoneistokohtaiset korvausilmaventtiilit asentaminen ikkunoihin säätö huonekohtaisesti. 2025-2026 Lämmönjakokeskuksen uusiminen ja lämmönjakohuoneen tilapintojen uusiminen ja asbestipurku. 2025 Salaojitus ja patosuojaukset. 2025-2026 Vesikaton tarkastus. 2025 Viemäreiden kuvaus ja huuhtelu. 2026-2027 Sähkösaneerauksen suunnittelu. 2026-2028 Ikkuna-ja ovihuoltoa. 2026-2028 Piha-alueiden pintarakenteiden korjauksia. 2027-2030 Lämmitysputkien korjauksia / tutkimuksia. 2027-2030 Sähkösaneeraus muuttaminen 3- vaiheiseksi.,Vuokra,30.12.2055,,1
56,56,https://www.etuovi.com/kohde/585603,19072025,True,,98000.0,,,,,,,,,,,,,,
57,57,https://www.etuovi.com/kohde/1378125,19072025,True,,127000.0,1378125,Heinäpää,"4h, k, kh, vh",71 m²,1/3,1990 Ikkunat uusittu.,Hyvä,Kaukolämpö,Taloyhtiössä on sauna,"Kunnossapitotarveselvitys: 2024 Palovaroittimet yhtiön vastuulle, 2024-2026 IV kanavien puhdistus, 2025-2026 ulko-ovien huoltokorvaukset, 2025-2027 rappukäytävien ja kellarikäytävien huoltomaalaukset, asfaltin korjaukset YIT:n rakennustyömaan yhteydessä, 2025-2028 roskakatosten/molok syväkeräysjärjestelmän rakentaminen",Oma,,,4
58,58,https://www.etuovi.com/kohde/21590228,19072025,True,,189900.0,21590228,Heinäpää,2h + kt + s,"47,5 m²",7/16,"2024 Parvekelasien kuntotarkastus, käyntiportin asentaminen Uusikadun puolelle",Hyvä,Kaukolämpö,Kiinteistö-Tahkola Oulu Oy Aleksi Yppärilä Lumijoentie 1 90400 OULU aleksi.ypparila@kiinteistotahkola.fi 020 7488 252,2 x vuosi IV-koneiden suodattimien vaihto.,Oma,,,2
59,59,https://www.etuovi.com/kohde/20000240,19072025,True,,89000.0,20000240,Heinäpää,1h + kk + s + kh + lasitettu parveke,37 m²,3/3,"1999 vesikate uusittu, 2000 lämmönvaihdin uusittu, 2002 julkisivukorjaus, 2005 huoneistojen lukot uusittu ja asennettu ovipuhelimet, 2008 rakennettu uusi jätetila, 2011 antennijärjestelmän huoneistorasioiden vaihto, 2012 Ekonor lämpövahti, 2015 ilmanvaihtokanavien nuohous, 2016 piha-alueen kunnostuksen suunnittelu ja sade-, salaoja- ja jätevesiviemäröintisuunnitelmat, 2018 käyttövesiputkien uusiminen, 2018 liikehuoneiston puiston puolen ikkunoiden alapuolella olevan ulkoseinän korjaus, 2021 ulko-ovien uusiminen (parvekeovien uusiminen on päätetty jättää tekemättä toistaiseksi rakenteista löytyneen asbestin vuoksi).",Hyvä,Kaukolämpö,"Tomi Haapaniemi Isännöintipalvelu Heikki Lahti Oy Torikatu 22 A 4krs., 90100 Oulu P. 08 3117106. Sähköposti. tomi@hlahti.com",Taloyhtiön hallituksen 5-vuotis kunnossapitotarveselvityksen mukaan: Ilmanvaihdon huippuimureiden korjaaminen ja uusiminen 2023-2026.,Oma,,,1
